地区名,高齢化率,75歳以上人口割合,単身高齢者割合,人口減少傾向,医療アクセス,移動系,買い物アクセス,要支援・要介護リスク,認知症リスク,閉じこもりリスク,ソーシャルキャピタル,通いの場参加割合,手段的サポート受領割合,配食,緊急通報,要介護認定率,転倒リスク,虚弱リスク,物忘れリスク,公共交通利用割合,歩いて行ける運動施設,自治会加入割合,スポーツグループ参加,趣味活動参加,運動習慣,十分な休養,かかりつけ歯科医あり,日常生活用具,地域サロン・介護予防活動,緯度,経度
東地区,26.3,14.2,18.1,27.3,96.0,75.1,62.0,24.0,29.2,17.7,45.7,29.7,61.5,51.6,44.6,12.2,26.2,16.3,31.8,45.2,49.2,60.8,24.9,30.5,46.3,54.4,79.5,56.7,32.8,36.520633,139.831027
平石地区,28.9,15.8,17.9,33.2,47.0,44.1,68.7,29.0,29.4,25.0,57.9,41.0,71.4,43.6,36.4,11.4,31.7,23.9,23.9,18.2,40.2,72.0,31.1,37.8,32.8,60.1,53.9,70.6,52.9,36.518266,139.819038
富士見地区,26.4,16.8,19.3,62.3,65.3,59.6,71.2,34.3,24.0,22.1,54.9,40.4,71.1,45.6,23.6,8.2,25.2,18.0,21.2,35.8,48.6,62.3,22.7,22.0,49.1,70.2,60.3,79.1,48.0,36.502263,139.830223
細谷・上戸祭地区,35.1,18.4,18.4,53.4,61.5,77.8,73.3,28.9,26.5,19.7,51.7,25.8,74.0,47.3,70.0,12.6,24.4,16.4,22.7,53.4,55.4,61.4,25.1,34.9,53.8,62.4,68.2,50.5,40.2,36.486994,139.813304
瑞穂野地区,32.7,18.1,12.8,53.1,56.2,48.8,67.8,38.0,26.6,23.8,71.3,49.1,69.2,57.6,71.5,12.0,30.2,20.7,25.2,31.5,40.9,83.7,35.9,32.5,49.3,59.4,73.9,56.6,57.1,36.473704,139.881625
緑が丘地区,33.6,18.2,19.3,31.0,78.2,75.8,70.3,33.6,31.3,22.2,59.1,42.6,66.3,35.6,51.9,11.6,27.6,22.6,23.3,39.5,47.6,55.2,25.6,27.8,46.8,56.7,52.8,46.8,40.6,36.546603,139.870709
峰地区,33.4,19.4,15.1,42.8,70.7,63.4,62.0,29.4,29.1,19.5,58.3,40.1,56.5,49.2,59.3,12.4,24.4,22.6,25.5,31.7,46.9,68.9,20.4,33.3,40.4,66.8,73.3,55.9,48.5,36.527429,139.887777
宮の原地区,28.0,18.6,16.3,43.3,70.1,60.2,76.8,34.2,28.8,21.6,54.8,35.6,60.6,42.2,51.6,10.5,30.2,17.5,20.5,44.0,66.1,62.5,22.1,27.5,45.4,74.7,63.8,53.2,38.2,36.499726,139.899005
御幸地区,34.3,21.7,24.3,39.2,63.7,61.5,70.5,33.5,25.6,20.7,64.6,35.5,72.3,52.5,62.8,11.2,25.3,28.3,18.0,34.3,53.6,71.7,23.3,35.0,48.3,58.0,60.5,58.3,43.3,36.504726,139.925738
御幸ヶ原地区,25.8,16.7,15.3,27.6,64.8,67.0,75.9,25.7,25.5,21.5,49.0,33.5,67.1,59.4,39.3,10.0,25.5,15.0,18.0,38.9,52.5,64.4,22.0,22.1,46.7,51.6,78.2,81.4,39.7,36.503014,139.912593
明保地区,31.5,16.5,19.0,44.2,75.1,67.8,51.5,35.1,20.0,19.9,59.8,48.3,72.5,34.8,50.5,13.4,27.9,25.6,18.0,46.4,46.7,67.7,31.0,37.1,34.7,60.9,63.5,68.3,63.8,36.488229,139.9446
簗瀬地区,29.3,18.2,22.9,30.6,71.5,74.4,86.5,26.6,20.0,18.4,56.0,44.5,64.2,61.8,46.9,14.8,20.0,19.6,18.6,38.0,68.2,60.1,20.2,30.1,42.0,78.0,70.5,68.7,52.8,36.486838,139.975141
陽光地区,34.4,20.5,20.4,49.1,69.3,78.3,62.2,26.3,33.0,30.5,70.2,41.1,68.8,53.6,55.2,8.9,21.7,16.5,26.8,43.5,56.8,60.5,32.8,44.5,53.3,71.6,63.9,67.9,49.7,36.541131,139.99197
陽東地区,29.6,16.6,20.3,38.7,70.1,67.2,77.3,32.0,27.1,25.0,54.1,44.6,65.5,59.0,32.6,14.1,23.1,22.6,21.2,22.8,63.5,64.2,22.5,35.2,48.8,65.1,63.1,72.9,69.1,36.548122,139.892829
陽南地区,29.7,19.1,13.7,37.7,86.9,82.8,53.9,32.2,24.7,18.0,52.5,45.3,66.8,61.9,63.8,10.0,32.3,15.0,23.2,39.5,60.5,70.0,16.1,24.5,36.5,64.4,70.5,57.2,52.1,36.542284,139.909638
横川地区,30.8,19.0,23.0,43.0,66.7,86.0,55.3,29.4,28.5,17.0,60.6,39.7,64.5,43.9,35.5,11.9,25.3,19.6,20.8,37.6,47.4,67.3,23.2,22.0,34.2,55.5,62.8,65.7,40.1,36.558361,139.929505
